"subj_idx","sex","age","edu","block_id","block_type","trial_id","trial_type_num","label_en","shape_en","valence","match","correctRp","response","rt","acc"
"v010001","male",27,"硕士",3,"test",6,14,"good","triangle","ordinary","mismatch","m","m","741.7000000005355","1"
"v010001","male",27,"硕士",3,"test",7,14,"ordinary","triangle","ordinary","match","n","n","765.9000000003725","1"
"v010001","male",27,"硕士",3,"test",8,14,"good","circular","bad","mismatch","m","m","1090.700000000652","1"
"v010001","male",27,"硕士",3,"test",9,14,"ordinary","circular","bad","mismatch","m","m","1096.9999999997672","1"
"v010001","male",27,"硕士",3,"test",10,14,"ordinary","square","good","mismatch","m","NA","null","0"
"v010001","male",27,"硕士",3,"test",11,14,"good","square","good","match","n","n","838.3000000013271","1"
"v010001","male",27,"硕士",3,"test",12,14,"bad","square","good","mismatch","m","m","934.1999999997206","1"
"v010001","male",27,"硕士",3,"test",1,15,"good","triangle","ordinary","mismatch","m","m","864.3000000010943","1"
"v010001","male",27,"硕士",3,"test",2,15,"bad","circular","bad","match","n","n","760.1999999987893","1"
"v010001","male",27,"硕士",3,"test",3,15,"bad","square","good","mismatch","m","m","898.6000000004424","1"
"v010001","male",27,"硕士",3,"test",4,15,"bad","circular","bad","match","n","n","765.9999999995343","1"
"v010001","male",27,"硕士",3,"test",5,15,"bad","triangle","ordinary","mismatch","m","m","699.3000000002794","1"
"v010001","male",27,"硕士",3,"test",6,15,"ordinary","circular","bad","mismatch","m","m","879.200000001234","1"
"v010001","male",27,"硕士",3,"test",7,15,"ordinary","triangle","ordinary","match","n","n","703.7000000000698","1"
"v010001","male",27,"硕士",3,"test",8,15,"ordinary","triangle","ordinary","match","n","m","653.5000000003492","0"
"v010001","male",27,"硕士",3,"test",9,15,"good","square","good","match","n","n","586.9000000002561","1"
"v010001","male",27,"硕士",3,"test",10,15,"good","square","good","match","n","n","647.7000000013504","1"
"v010001","male",27,"硕士",3,"test",11,15,"ordinary","square","good","mismatch","m","m","969.4999999991851","1"
"v010001","male",27,"硕士",3,"test",12,15,"good","circular","bad","mismatch","m","n","604.1000000004424","0"
"v010001","male",27,"硕士",3,"test",1,16,"good","triangle","ordinary","mismatch","m","m","897.3999999999069","1"
"v010001","male",27,"硕士",3,"test",2,16,"ordinary","triangle","ordinary","match","n","n","1138.8000000006286","1"
"v010001","male",27,"硕士",3,"test",3,16,"bad","circular","bad","match","n","n","766.2000000000698","1"
"v010001","male",27,"硕士",3,"test",4,16,"ordinary","circular","bad","mismatch","m","m","758.4000000006054","1"
"v010001","male",27,"硕士",3,"test",5,16,"good","square","good","match","n","n","616.7999999998137","1"
"v010001","male",27,"硕士",3,"test",6,16,"bad","square","good","mismatch","m","m","668.5999999990454","1"
"v010001","male",27,"硕士",3,"test",7,16,"bad","triangle","ordinary","mismatch","m","m","887.4999999989523","1"
"v010001","male",27,"硕士",3,"test",8,16,"bad","circular","bad","match","n","n","673.399999999674","1"
"v010001","male",27,"硕士",3,"test",9,16,"good","square","good","match","n","n","1026.3999999988591","1"
"v010001","male",27,"硕士",3,"test",10,16,"ordinary","triangle","ordinary","match","n","m","660.7999999995809","0"
"v010001","male",27,"硕士",3,"test",11,16,"good","circular","bad","mismatch","m","m","817.6000000002095","1"
"v010001","male",27,"硕士",3,"test",12,16,"ordinary","square","good","mismatch","m","m","1076.299999998766","1"
"v010001","male",27,"硕士",3,"test",1,17,"good","square","good","match","n","n","962.4999999996508","1"
"v010001","male",27,"硕士",3,"test",2,17,"good","circular","bad","mismatch","m","m","718.9999999991851","1"
"v010001","male",27,"硕士",3,"test",3,17,"ordinary","circular","bad","mismatch","m","m","747.5000000012806","1"
